Rank,Ticker,Name,Weight
362,ZD,ZIFF DAVIS INC,0.106541
363,VECO,VEECO INSTRUMENTS INC,0.106287
364,CRK,COMSTOCK RESOURCES INC,0.106147
365,GTY,GETTY REALTY CORP,0.10568
366,GNL,GLOBAL NET LEASE INC,0.105364
367,WKC,WORLD KINECT CORP,0.105306
368,JBGS,JBG SMITH PROPERTIES,0.105115
369,GBX,GREENBRIER COMPANIES INC,0.105024
370,STBA,S + T BANCORP INC,0.104212
371,PARR,PAR PACIFIC HOLDINGS INC,0.104208
372,HI,HILLENBRAND INC,0.103531
373,HTH,HILLTOP HOLDINGS INC,0.103149
374,NBHC,NATIONAL BANK HOLD CL A,0.102601
375,CCOI,COGENT COMMUNICATIONS HOLDIN,0.101648
376,MLKN,MILLERKNOLL INC,0.101499
377,BHE,BENCHMARK ELECTRONICS INC,0.101388
378,KSS,KOHLS CORP,0.100848
379,IIPR,INNOVATIVE INDUSTRIAL PROPER,0.100584
380,SONO,SONOS INC,0.099987
381,STAA,STAAR SURGICAL CO,0.099758
382,HRMY,HARMONY BIOSCIENCES HOLDINGS,0.098784
383,USPH,U.S. PHYSICAL THERAPY INC,0.09876
384,DFIN,DONNELLEY FINANCIAL SOLUTION,0.098094
385,UVV,UNIVERSAL CORP/VA,0.097889
386,ALEX,ALEXANDER + BALDWIN INC,0.097535
387,KGS,KODIAK GAS SERVICES INC,0.097283
388,JBLU,JETBLUE AIRWAYS CORP,0.097226
389,STEL,STELLAR BANCORP INC,0.096812
390,PRG,PROG HOLDINGS INC,0.095814
391,NHC,NATIONAL HEALTHCARE CORP,0.095641
392,AZTA,AZENTA INC,0.095034
393,CBRL,CRACKER BARREL OLD COUNTRY,0.094281
394,HOPE,HOPE BANCORP INC,0.094119
395,ARI,APOLLO COMMERCIAL REAL ESTAT,0.093939
396,SEM,SELECT MEDICAL HOLDINGS CORP,0.093736
397,PLAB,PHOTRONICS INC,0.093303
398,WABC,WESTAMERICA BANCORPORATION,0.092395
399,EFC,ELLINGTON FINANCIAL INC,0.092228
400,XHR,XENIA HOTELS + RESORTS INC,0.091852
401,ANDE,ANDERSONS INC/THE,0.091345
402,ATEN,A10 NETWORKS INC,0.091035
403,MCRI,MONARCH CASINO + RESORT INC,0.090949
404,PRA,PROASSURANCE CORP,0.090945
405,PENG,PENGUIN SOLUTIONS INC,0.090781
406,VRTS,VIRTUS INVESTMENT PARTNERS,0.090562
407,FDP,FRESH DEL MONTE PRODUCE INC,0.090545
408,AAMI,ACADIAN ASSET MANAGEMENT INC,0.089526
409,SBH,SALLY BEAUTY HOLDINGS INC,0.089352
410,DGII,DIGI INTERNATIONAL INC,0.088837
411,MD,PEDIATRIX MEDICAL GROUP INC,0.08862
412,CTS,CTS CORP,0.088592
413,ASTH,ASTRANA HEALTH INC,0.088575
414,MXL,MAXLINEAR INC,0.088245
415,ROG,ROGERS CORP,0.088098
416,LGIH,LGI HOMES INC,0.087505
417,CENX,CENTURY ALUMINUM COMPANY,0.086759
418,DVAX,DYNAVAX TECHNOLOGIES CORP,0.086726
419,COLL,COLLEGIUM PHARMACEUTICAL INC,0.086472
420,PCRX,PACIRA BIOSCIENCES INC,0.086355
421,MODG,TOPGOLF CALLAWAY BRANDS CORP,0.086113
422,KALU,KAISER ALUMINUM CORP,0.085741
423,FOXF,FOX FACTORY HOLDING CORP,0.085724
424,TFIN,TRIUMPH FINANCIAL INC,0.085528
425,CERT,CERTARA INC,0.085119
426,LEG,LEGGETT + PLATT INC,0.08462
427,PEB,PEBBLEBROOK HOTEL TRUST,0.083457
428,BHLB,BERKSHIRE HILLS BANCORP INC,0.082646
429,VRE,VERIS RESIDENTIAL INC,0.082452
430,SNDR,SCHNEIDER NATIONAL INC CL B,0.082441
431,SAH,SONIC AUTOMOTIVE INC CLASS A,0.081659
432,INVA,INNOVIVA INC,0.081255
